,Date of Collection,Company Name,Website_URL,Public/Private,Practices,Practices_URL,Services,Services_URL,Solutions,Solutions_URL,Previous Close,52 Week Range,Sector,Industry,Full Time Employees,Market Cap,Fiscal Year Ends,Revenue,EBITDA,Company NPS,Company Glassdoor,MI Summary,Competitive Threat Level,Market Share,Pricing Strategy,Target Market_1,Target Market_2,Channels-to-Market_1 (Social Media),Channels-to-Market_2 (Sales),Channels-to-Market_3 (Promotions/Sponsorship),Market Differentiation (USP),Revenue Trends,Profitability,Growth Rate,Revenue per Employee,Customer Satisfaction,Reviews & Ratings,Customer Complaints,Innovation,Tech Advancements,Patents & Intellectual Property,Emerging Trends,Potential Threats,Long-term Strategy,Recent Activities,Market Responsiveness,Key Executives,Company Culture,Compliance Requirements,Legal Issues/Pending Litigations,Environmental Impact,Social Initiatives
0,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public, Network Solutions and Service,https://www.tcs.com/what-we-do/services/network-solutions-and-services,No Services,No Services URL,5G enterprise services,https://www.youtube-nocookie.com/embed/vmbAXyuefY8,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public, Network Solutions and Service,https://www.tcs.com/what-we-do/services/network-solutions-and-services,No Services,No Services URL,Cognitive network operations,https://www.tcs.com/what-we-do/services/network-solutions-and-services/solution/cognitive-network-operations-telecommunication-network,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public, Network Solutions and Service,https://www.tcs.com/what-we-do/services/network-solutions-and-services,No Services,No Services URL,Industrialized SD-WAN,https://www.tcs.com/what-we-do/services/network-solutions-and-services/solution/industrialized-sd-wan-solution-network-transformation,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public, Network Solutions and Service,https://www.tcs.com/what-we-do/services/network-solutions-and-services,No Services,No Services URL,Network planning and engineering,,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public, Network Solutions and Service,https://www.tcs.com/what-we-do/services/network-solutions-and-services,No Services,No Services URL,Network testing and automation,,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public, Network Solutions and Service,https://www.tcs.com/what-we-do/services/network-solutions-and-services,No Services,No Services URL,Next-gen OSS services,https://www.tcs.com/what-we-do/services/network-solutions-and-services/solution/next-gen-oss-services-csp-digital-transformation,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
6,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public, Network Solutions and Service,https://www.tcs.com/what-we-do/services/network-solutions-and-services,No Services,No Services URL,Telco cloud and orchestration services,,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,Artificial Intelligence,https://www.tcs.com/insights/topics/ai,No Services,No Services URL,Harness LLMs with GenAI agents for effective enterprise use ,https://www.tcs.com/what-we-do/pace-innovation/article/generative-ai-guardrails-secure-llm-usage,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
8,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,Artificial Intelligence,https://www.tcs.com/insights/topics/ai,No Services,No Services URL,Manufacturing powered by GenAI ,https://www.tcs.com/what-we-do/industries/manufacturing/white-paper/genai-manufacturing-innovation-enterprise-transformation,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
9,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,Artificial Intelligence,https://www.tcs.com/insights/topics/ai,No Services,No Services URL,"Tap into GenAI for banking, financial services and insurance",https://www.tcs.com/what-we-do/industries/banking/white-paper/generative-ai-finance-insurance-industry,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,Artificial Intelligence,https://www.tcs.com/insights/topics/ai,No Services,No Services URL,Unlock potential with responsible AI,https://www.tcs.com/what-we-do/services/data-and-analytics/solution/implementing-ethical-responsible-ai,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,Cloud,https://www.tcs.com/what-we-do/services/cloud,No Services,No Services URL,Cloud Strategy and Transformation,https://www.tcs.com/what-we-do/services/consulting/solution/cloud-strategy-transformation-consulting,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,Cloud,https://www.tcs.com/what-we-do/services/cloud,No Services,No Services URL,Enterprise Cloud,https://www.tcs.com/what-we-do/services/cloud/enterprise,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
13,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,Cloud,https://www.tcs.com/what-we-do/services/cloud,No Services,No Services URL,TCS and AWS Cloud,https://www.tcs.com/what-we-do/services/cloud/aws,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
14,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,Cloud,https://www.tcs.com/what-we-do/services/cloud,No Services,No Services URL,TCS and Google Cloud,https://www.tcs.com/what-we-do/services/cloud/google,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
15,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,Cloud,https://www.tcs.com/what-we-do/services/cloud,No Services,No Services URL,TCS and Microsoft Cloud,https://www.tcs.com/what-we-do/services/cloud/microsoft,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
16,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,Cognitive Business Operations,https://www.tcs.com/what-we-do/services/cognitive-business-operations,No Services,No Services URL,Applications: Decoding operations to accelerate speed to market,,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
17,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,Cognitive Business Operations,https://www.tcs.com/what-we-do/services/cognitive-business-operations,No Services,No Services URL,Customer experience: Crafting experiences to delight customers,,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
18,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,Cognitive Business Operations,https://www.tcs.com/what-we-do/services/cognitive-business-operations,No Services,No Services URL,"Data center: Building automated, secure, and green solutions",,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
19,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,Cognitive Business Operations,https://www.tcs.com/what-we-do/services/cognitive-business-operations,No Services,No Services URL,Finance: Powering strategic financial leadership,https://www.tcs.com/what-we-do/services/cognitive-business-operations/solution/digital-finance-services-solutions-accounting,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
20,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,Cognitive Business Operations,https://www.tcs.com/what-we-do/services/cognitive-business-operations,No Services,No Services URL,Human resources: Redefining employee experiences,https://www.tcs.com/what-we-do/services/cognitive-business-operations/solution/cloud-cognitive-hr-automation,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,Cognitive Business Operations,https://www.tcs.com/what-we-do/services/cognitive-business-operations,No Services,No Services URL,Marketing: Reimagining experiences to enhance engagement,,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
22,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,Cognitive Business Operations,https://www.tcs.com/what-we-do/services/cognitive-business-operations,No Services,No Services URL,Networks: Building responsive networks to drive agility,,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
23,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,Cognitive Business Operations,https://www.tcs.com/what-we-do/services/cognitive-business-operations,No Services,No Services URL,Supply chain: Building agile and resilient businesses,,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
24,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,Cognitive Business Operations,https://www.tcs.com/what-we-do/services/cognitive-business-operations,No Services,No Services URL,Workspace: Creating intuitive and intelligent workspaces,,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
25,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,Consulting,https://www.tcs.com/what-we-do/services/consulting,No Services,No Services URL,CIO advisory services,https://www.tcs.com/what-we-do/services/consulting/tcs-cio-advisory-services,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
26,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,Consulting,https://www.tcs.com/what-we-do/services/consulting,No Services,No Services URL,Mergers and acquisitions,https://www.tcs.com/what-we-do/services/consulting/mergers-acquisitions,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
27,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,Consulting,https://www.tcs.com/what-we-do/services/consulting,No Services,No Services URL,Next-gen enterprise transformation,https://www.tcs.com/what-we-do/services/consulting/next-generation-enterprise,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
28,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,Consulting,https://www.tcs.com/what-we-do/services/consulting,No Services,No Services URL,Risk and cybersecurity strategy,https://www.tcs.com/what-we-do/services/consulting/risk-cybersecurity-strategy,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
29,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,Consulting,https://www.tcs.com/what-we-do/services/consulting,No Services,No Services URL,Supply chain as a service,https://www.tcs.com/what-we-do/services/consulting/supply-chain,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,Cybersecurity,https://www.tcs.com/what-we-do/services/cybersecurity,No Services,No Services URL,Cyber-physical security,https://www.tcs.com/what-we-do/services/cybersecurity/solution/governance-risk-compliance-security-services,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,Cybersecurity,https://www.tcs.com/what-we-do/services/cybersecurity,No Services,No Services URL,Cybersecurity advisory and consulting,https://www.tcs.com/what-we-do/services/cybersecurity/solution/ics-ot-security-cyber-attacks,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
32,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,Cybersecurity,https://www.tcs.com/what-we-do/services/cybersecurity,No Services,No Services URL,Digital identity management,https://www.tcs.com/what-we-do/services/cybersecurity/solution/digital-forensics-secure-enterprise-cyber-attack,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
33,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,Cybersecurity,https://www.tcs.com/what-we-do/services/cybersecurity,No Services,No Services URL,Digital workplace security ,https://www.tcs.com/what-we-do/services/cybersecurity/solution/data-privacy-security-services,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
34,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,Cybersecurity,https://www.tcs.com/what-we-do/services/cybersecurity,No Services,No Services URL,Enterprise security-as-a-service ,https://www.tcs.com/what-we-do/services/cybersecurity/solution/cloud-security-resilience-zero-trust-approach,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
35,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,Cybersecurity,https://www.tcs.com/what-we-do/services/cybersecurity,No Services,No Services URL,"Governance, risk and compliance   ",https://www.tcs.com/what-we-do/services/cybersecurity/solution/managed-detection-response-services,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
36,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,Cybersecurity,https://www.tcs.com/what-we-do/services/cybersecurity,No Services,No Services URL,Incident response and rapid recovery,https://www.tcs.com/what-we-do/services/cybersecurity/solution/enterprise-vulnerability-management-services,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
37,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,Cybersecurity,https://www.tcs.com/what-we-do/services/cybersecurity,No Services,No Services URL,Privacy and data protection,https://www.tcs.com/what-we-do/services/cybersecurity/solution/network-security-services-zero-trust-approach,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
38,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,Data & Analytics,https://www.tcs.com/what-we-do/services/data-and-analytics,No Services,No Services URL,TCS Business Analytics Solutions,https://www.tcs.com/what-we-do/services/data-and-analytics/solution/business-analytics-solutions,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
39,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,Data & Analytics,https://www.tcs.com/what-we-do/services/data-and-analytics,No Services,No Services URL,TCS Daezmo™,https://www.tcs.com/what-we-do/services/data-and-analytics/solution/tcs-daezmo-data-center-modernization,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
40,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,Data & Analytics,https://www.tcs.com/what-we-do/services/data-and-analytics,No Services,No Services URL,TCS Datom™ ,https://www.tcs.com/what-we-do/services/data-and-analytics/solution/tcs-datom-enhance-data-analytics-capabilities,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,Data & Analytics,https://www.tcs.com/what-we-do/services/data-and-analytics,No Services,No Services URL,TCS Dexam™,https://www.tcs.com/what-we-do/services/data-and-analytics/solution/tcs-dexam-data-democratization-monetization,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,Enterprise Solutions,https://www.tcs.com/what-we-do/services/enterprise-solutions,No Services,No Services URL,TCS ConvertCore ,https://www.tcs.com/what-we-do/services/enterprise-solutions/solution/sap-s4-hana-migration-tcs-conversion,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
43,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,Enterprise Solutions,https://www.tcs.com/what-we-do/services/enterprise-solutions,No Services,No Services URL,TCS Crystallus™ on Oracle Cloud,https://www.tcs.com/what-we-do/services/enterprise-solutions/solution/crystallus-pre-configured-solution-oracle,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
44,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,Enterprise Solutions,https://www.tcs.com/what-we-do/services/enterprise-solutions,No Services,No Services URL,TCS Crystallus™ on SAP,https://www.tcs.com/what-we-do/services/enterprise-solutions/solution/tcs-crystallus-accelerate-digital-transformation-enhance-cx,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
45,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,Enterprise Solutions,https://www.tcs.com/what-we-do/services/enterprise-solutions,No Services,No Services URL,TCS Crystallus™ on Salesforce,https://www.tcs.com/what-we-do/services/enterprise-solutions/solution/crystallus-enterprise-digital-transformation,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
46,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,Enterprise Solutions,https://www.tcs.com/what-we-do/services/enterprise-solutions,No Services,No Services URL,TCS Enterprise Navigator™,https://www.tcs.com/what-we-do/services/enterprise-solutions/solution/enterprise-navigator-integrated-consulting-framework-business-transformation,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
47,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,IoT Digital Engineering,https://www.tcs.com/what-we-do/services/iot-digital-engineering,No Services,No Services URL,Connected plants,https://www.tcs.com/what-we-do/services/iot-digital-engineering/connected-plants-smart-manufacturing,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
48,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,IoT Digital Engineering,https://www.tcs.com/what-we-do/services/iot-digital-engineering,No Services,No Services URL,Connected services,https://www.tcs.com/what-we-do/services/iot-digital-engineering/connected-services-ecosystem-deliver-value,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
49,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,IoT Digital Engineering,https://www.tcs.com/what-we-do/services/iot-digital-engineering,No Services,No Services URL,Digital thread,https://www.tcs.com/what-we-do/services/iot-digital-engineering/connected-digital-enterprise,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
50,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,IoT Digital Engineering,https://www.tcs.com/what-we-do/services/iot-digital-engineering,No Services,No Services URL,Intelligent automotive,https://www.tcs.com/what-we-do/services/iot-digital-engineering/sustainable-software-defined-vehicles,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
51,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,IoT Digital Engineering,https://www.tcs.com/what-we-do/services/iot-digital-engineering,No Services,No Services URL,Intelligent products,https://www.tcs.com/what-we-do/services/iot-digital-engineering/intelligent-products,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
52,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,Sustainability Services,https://www.tcs.com/what-we-do/services/sustainability-services,No Services,No Services URL,Sustainable by Design,https://www.tcs.com/what-we-do/industries/manufacturing/solution/sustainable-design-neural-manufacturing,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
53,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,Sustainability Services,https://www.tcs.com/what-we-do/services/sustainability-services,No Services,No Services URL,TCS Clever Energy™,https://www.tcs.com/what-we-do/services/iot-digital-engineering/solution/tcs-clever-energy-management-system,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
54,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,Sustainability Services,https://www.tcs.com/what-we-do/services/sustainability-services,No Services,No Services URL,TCS DigiFleet™,https://www.tcs.com/what-we-do/services/iot-digital-engineering/solution/tcs-digifleet-improved-supply-chain-operations,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
55,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,Sustainability Services,https://www.tcs.com/what-we-do/services/sustainability-services,No Services,No Services URL,TCS Envirozone™,https://www.tcs.com/what-we-do/industries/consumer-goods-distribution/solution/tcs-envirozone-sustainability-solution,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
56,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,Sustainability Services,https://www.tcs.com/what-we-do/services/sustainability-services,No Services,No Services URL,TCS IP2™,https://www.tcs.com/what-we-do/services/iot-digital-engineering/solution/ip2-digital-power-plants-maintenance-efficiency,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
57,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,Sustainability Services,https://www.tcs.com/what-we-do/services/sustainability-services,No Services,No Services URL,TCS Intelligent Urban Exchange™,https://www.tcs.com/what-we-do/products-platforms/tcs-intelligent-urban-exchange,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
58,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,TCS Interactive,https://www.tcs.com/what-we-do/services/tcs-interactive,No Services,No Services URL,AI-enabled measurement,,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
59,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,TCS Interactive,https://www.tcs.com/what-we-do/services/tcs-interactive,No Services,No Services URL,Digital experience ,,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
60,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,TCS Interactive,https://www.tcs.com/what-we-do/services/tcs-interactive,No Services,No Services URL,Experience-first commerce ,,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
61,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,TCS Interactive,https://www.tcs.com/what-we-do/services/tcs-interactive,No Services,No Services URL,Iconic designs  ,,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
62,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,TCS Interactive,https://www.tcs.com/what-we-do/services/tcs-interactive,No Services,No Services URL,Insights-driven marketing  ,,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
