Date of Collection,Company Name,Previous Close,%-Change,Sector,Currency,52 Week Range
2024-06-26,11:FS,Private,Private,Private,Private,Private
2024-06-26,AND Digital,Private,Private,Private,Private,Private
2024-06-26,Accenture PLC,307.21,0.343,Technology,USD,278.69 - 387.51
2024-06-26,Adatis,Private,Private,Private,Private,Private
2024-06-26,Afiniti,Private,Private,Private,Private,Private
2024-06-26,Airwalk Reply,Private,Private,Private,Private,Private
2024-06-26,Alchemmy,Private,Private,Private,Private,Private
2024-06-26,Alix Partners,Private,Private,Private,Private,Private
2024-06-26,Apexon,Private,Private,Private,Private,Private
2024-06-26,Arthur D Little,Private,Private,Private,Private,Private
2024-06-26,Atos Group,Private,Private,Private,Private,Private
2024-06-26,Atos SE,1.198,2.0878,Technology,EUR,0.6372 - 14.74
2024-06-26,Avanade Inc.,Private,Private,Private,Private,Private
2024-06-26,BJSS,Private,Private,Private,Private,Private
2024-06-26,BMC,Private,Private,Private,Private,Private
2024-06-26,Bain & Company,Private,Private,Private,Private,Private
2024-06-26,Baringa,Private,Private,Private,Private,Private
2024-06-26,BetterGov,Private,Private,Private,Private,Private
2024-06-26,Billigence,Private,Private,Private,Private,Private
2024-06-26,Blueberry Consultants Ltd.,Private,Private,Private,Private,Private
2024-06-26,Booz Allen Hamilton Holding Corp,157.22,1.7935,Industrials,USD,106.9 - 164.43
2024-06-26,Boston Consulting Group,Private,Private,Private,Private,Private
2024-06-26,Box UK,Private,Private,Private,Private,Private
2024-06-26,Broadstones Tech,Private,Private,Private,Private,Private
2024-06-26,CGI,Private,Private,Private,Private,Private
2024-06-26,CIGNITI Technologies Ltd,1346.1,0.763,Technology,INR,757.65 - 1394.0
2024-06-26,Cambridge Consultants Limited,Private,Private,Private,Private,Private
2024-06-26,Cambridge Design Partnership,Private,Private,Private,Private,Private
2024-06-26,Canon Inc.,4435.0,2.0713,Technology,JPY,3422.0 - 4703.0
2024-06-26,Capco Limited,Private,Private,Private,Private,Private
2024-06-26,Capgemini SE,189.5,1.6358,Technology,EUR,157.75 - 227.4
2024-06-26,Capita,13.76,1.9943,Industrials,GBp,12.48 - 29.699
2024-06-26,Centric Consulting,Private,Private,Private,Private,Private
2024-06-26,Clarasys,Private,Private,Private,Private,Private
2024-06-26,Cognifide,Private,Private,Private,Private,Private
2024-06-26,Cognizant Technology Solutions Corporation,68.68,0.7925,Technology,USD,62.14 - 80.09
2024-06-26,Contino Ltd.,Private,Private,Private,Private,Private
2024-06-26,Credera,Private,Private,Private,Private,Private
2024-06-26,Credo Consulting,Private,Private,Private,Private,Private
2024-06-26,DXC Technology,18.59,0.9777,Technology,USD,14.79 - 28.89
2024-06-26,Deloitte,Private,Private,Private,Private,Private
2024-06-26,Designit,Private,Private,Private,Private,Private
2024-06-26,Digital Futures,Private,Private,Private,Private,Private
2024-06-26,Digital Workplace Group,Private,Private,Private,Private,Private
2024-06-26,Dufrain,Private,Private,Private,Private,Private
2024-06-26,EPAM Systems Inc,183.09,0.7096,Technology,USD,169.43 - 317.5
2024-06-26,EY,Private,Private,Private,Private,Private
2024-06-26,Eclature Technologies,Private,Private,Private,Private,Private
2024-06-26,Eden McCallum,Private,Private,Private,Private,Private
2024-06-26,Edge Testing Solutions,Private,Private,Private,Private,Private
2024-06-26,Elixirr International Plc,560.0,1.0601,Industrials,GBp,402.0 - 665.0
2024-06-26,Enfuse Group,Private,Private,Private,Private,Private
2024-06-26,Equal Experts,Private,Private,Private,Private,Private
2024-06-26,FDM Group (Holdings) Ltd,402.0,0.7407,Technology,GBp,300.0 - 639.0
2024-06-26,Faculty AI,Private,Private,Private,Private,Private
2024-06-26,Fjord Consulting Group,Private,Private,Private,Private,Private
2024-06-26,Frog Design,Private,Private,Private,Private,Private
2024-06-26,Frontier Economics,Private,Private,Private,Private,Private
2024-06-26,GeekTek,Private,Private,Private,Private,Private
2024-06-26,Genpact Ltd,32.03,1.2006,Technology,USD,29.41 - 39.58
2024-06-26,Grayce Group Limited,Private,Private,Private,Private,Private
2024-06-26,HCL Technologies Ltd,1448.55,0.0449,Technology,INR,1096.45 - 1696.5
2024-06-26,HP Inc,36.3,0.1656,Technology,USD,25.22 - 39.52
2024-06-26,Hexaware Technologies Ltd,Private,Private,Private,Private,Private
2024-06-26,IDEO,Private,Private,Private,Private,Private
2024-06-26,IQVIA Holdings Inc,214.09,0.0467,Healthcare,USD,167.42 - 261.73
2024-06-26,Icon PLC,316.85,0.269,Healthcare,USD,221.2 - 344.77
2024-06-26,Infinite Lambda,Private,Private,Private,Private,Private
2024-06-26,Infostretch Corp,Private,Private,Private,Private,Private
2024-06-26,Infosys Limited,18.14,0.7115,Technology,USD,15.33 - 20.74
2024-06-26,International Business Machines Corp,175.01,0.6267,Technology,USD,130.91 - 199.18
2024-06-26,JMAN Group,Private,Private,Private,Private,Private
2024-06-26,KONICA MINOLTA INC,444.5,1.1146,Industrials,JPY,397.6 - 562.0
2024-06-26,KPMG,Private,Private,Private,Private,Private
2024-06-26,Kainos,1068.0,2.7322,Technology,GBp,900.5 - 1404.0
2024-06-26,Kearney,Private,Private,Private,Private,Private
2024-06-26,Kubrick Group Limited,Private,Private,Private,Private,Private
2024-06-26,Laboratory Corp Of America Holdings,196.0,0.0,Healthcare,EUR,172.84975 - 212.0
2024-06-26,"LockPath, Inc.",Private,Private,Private,Private,Private
2024-06-26,"LogicSource, Inc.",Private,Private,Private,Private,Private
2024-06-26,Lovelytics,Private,Private,Private,Private,Private
2024-06-26,Lunar,Private,Private,Private,Private,Private
2024-06-26,METRICSTREAM INC,Private,Private,Private,Private,Private
2024-06-26,Made Tech Group Plc,14.75,3.2787,Technology,GBp,8.0 - 19.0
2024-06-26,Mason Advisory,Private,Private,Private,Private,Private
2024-06-26,McKinsey,Private,Private,Private,Private,Private
2024-06-26,Mesh AI,Private,Private,Private,Private,Private
2024-06-26,MindTree Ltd,Private,Private,Private,Private,Private
2024-06-26,Mosaic Island,Private,Private,Private,Private,Private
2024-06-26,Mphasis Ltd,2408.5,0.8705,Technology,INR,1834.0 - 2835.0
2024-06-26,Neoris,Private,Private,Private,Private,Private
2024-06-26,NexInfo,Private,Private,Private,Private,Private
2024-06-26,North Highland,Private,Private,Private,Private,Private
2024-06-26,OC&C Strategy Consultants,Private,Private,Private,Private,Private
2024-06-26,Oliver Wyman,Private,Private,Private,Private,Private
2024-06-26,OpenCredo,Private,Private,Private,Private,Private
2024-06-26,Oracle Consulting,Private,Private,Private,Private,Private
2024-06-26,PA Consulting Group,Private,Private,Private,Private,Private
2024-06-26,PPD Inc,Private,Private,Private,Private,Private
2024-06-26,PRA Health Sciences Inc,Private,Private,Private,Private,Private
2024-06-26,Parexel International Corp,Private,Private,Private,Private,Private
2024-06-26,Peru Consulting,Private,Private,Private,Private,Private
2024-06-26,Planit Testing,Private,Private,Private,Private,Private
2024-06-26,Project One,Private,Private,Private,Private,Private
2024-06-26,Projective,Private,Private,Private,Private,Private
2024-06-26,Prolifics,Private,Private,Private,Private,Private
2024-06-26,PwC,Private,Private,Private,Private,Private
2024-06-26,RICOH CO LTD,1343.0,0.7024,Industrials,JPY,1069.5 - 1444.5
2024-06-26,Rockborne Limited,Private,Private,Private,Private,Private
2024-06-26,Roland Berger,Private,Private,Private,Private,Private
2024-06-26,SEIKO EPSON CORP,2490.5,2.9771,Technology,JPY,1986.5 - 2834.0
2024-06-26,Simon Kutcher & Partners,Private,Private,Private,Private,Private
2024-06-26,SkillStorm,Private,Private,Private,Private,Private
2024-06-26,Slalom,Private,Private,Private,Private,Private
2024-06-26,Softwire,Private,Private,Private,Private,Private
2024-06-26,Sparta Global,Private,Private,Private,Private,Private
2024-06-26,Spring Studios,Private,Private,Private,Private,Private
2024-06-26,Strategy & London,Private,Private,Private,Private,Private
2024-06-26,Sutherland,Private,Private,Private,Private,Private
2024-06-26,Switchfast Technologies,Private,Private,Private,Private,Private
2024-06-26,Syneos Health Inc,Private,Private,Private,Private,Private
2024-06-26,TAG Solutions,Private,Private,Private,Private,Private
2024-06-26,Tata Consultancy Services Limited,3839.1,0.7916,Technology,INR,3193.2 - 4254.45
2024-06-26,Tech Mahindra Ltd,1428.25,2.0288,Technology,INR,1085.0 - 1440.0
2024-06-26,Ten10,Private,Private,Private,Private,Private
2024-06-26,Terillium,Private,Private,Private,Private,Private
2024-06-26,Testhouse Ltd,Private,Private,Private,Private,Private
2024-06-26,The Berkeley Partnership,Private,Private,Private,Private,Private
2024-06-26,The PSC,Private,Private,Private,Private,Private
2024-06-26,Thoughtworks,Private,Private,Private,Private,Private
2024-06-26,Ultimus Fund Solutions,Private,Private,Private,Private,Private
2024-06-26,Verisk Analytics Inc,271.77,1.3727,Industrials,USD,215.32 - 273.7
2024-06-26,Wavestone,Private,Private,Private,Private,Private
2024-06-26,Wipro Limited,5.83,1.0187,Technology,USD,4.48 - 6.45
2024-06-26,Xerox Corp,Private,Private,Private,Private,Private
2024-06-26,ZS,Private,Private,Private,Private,Private
2024-06-26,Zoonou,Private,Private,Private,Private,Private
2024-06-26,a1qa,Private,Private,Private,Private,Private
2024-06-26,mthree,Private,Private,Private,Private,Private
