Practises,Practises_url,Expertise_url,Expertise,Solution_url,Solution,company_name,Ticker,Public/Private,Previous Close,52 Week Range,Sector,Industry,Full Time Employees,Market Cap,Fiscal Year Ends,Revenue,EBITDA,Date
Artificial Intelligence,https://www.tcs.com/insights/topics/ai,,,https://www.tcs.com/what-we-do/services/data-and-analytics/solution/implementing-ethical-responsible-ai,Unlock potential with responsible AI,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Artificial Intelligence,https://www.tcs.com/insights/topics/ai,,,https://www.tcs.com/what-we-do/industries/banking/white-paper/generative-ai-finance-insurance-industry,"Tap into GenAI for banking, financial services and insurance",Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Artificial Intelligence,https://www.tcs.com/insights/topics/ai,,,https://www.tcs.com/what-we-do/industries/manufacturing/white-paper/genai-manufacturing-innovation-enterprise-transformation,Manufacturing powered by GenAI ,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Artificial Intelligence,https://www.tcs.com/insights/topics/ai,,,https://www.tcs.com/what-we-do/pace-innovation/article/generative-ai-guardrails-secure-llm-usage,Harness LLMs with GenAI agents for effective enterprise use ,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Cloud,https://www.tcs.com/what-we-do/services/cloud,,,https://www.tcs.com/what-we-do/services/consulting/solution/cloud-strategy-transformation-consulting,Cloud Strategy and Transformation,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Cloud,https://www.tcs.com/what-we-do/services/cloud,,,https://www.tcs.com/what-we-do/services/cloud/aws,TCS and AWS Cloud,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Cloud,https://www.tcs.com/what-we-do/services/cloud,,,https://www.tcs.com/what-we-do/services/cloud/google,TCS and Google Cloud,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Cloud,https://www.tcs.com/what-we-do/services/cloud,,,https://www.tcs.com/what-we-do/services/cloud/microsoft,TCS and Microsoft Cloud,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Cloud,https://www.tcs.com/what-we-do/services/cloud,,,https://www.tcs.com/what-we-do/services/cloud/enterprise,Enterprise Cloud,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Cognitive Business Operations,https://www.tcs.com/what-we-do/services/cognitive-business-operations,,,https://www.tcs.com/what-we-do/services/cognitive-business-operations/solution/digital-finance-services-solutions-accounting,Finance: Powering strategic financial leadership,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Cognitive Business Operations,https://www.tcs.com/what-we-do/services/cognitive-business-operations,,,https://www.tcs.com/what-we-do/services/cognitive-business-operations,Supply chain: Building agile and resilient businesses,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Cognitive Business Operations,https://www.tcs.com/what-we-do/services/cognitive-business-operations,,,https://www.tcs.com/what-we-do/services/cognitive-business-operations,Customer experience: Crafting experiences to delight customers,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Cognitive Business Operations,https://www.tcs.com/what-we-do/services/cognitive-business-operations,,,https://www.tcs.com/what-we-do/services/cognitive-business-operations/solution/cloud-cognitive-hr-automation,Human resources: Redefining employee experiences,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Cognitive Business Operations,https://www.tcs.com/what-we-do/services/cognitive-business-operations,,,https://www.tcs.com/what-we-do/services/cognitive-business-operations,Marketing: Reimagining experiences to enhance engagement,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Cognitive Business Operations,https://www.tcs.com/what-we-do/services/cognitive-business-operations,,,https://www.tcs.com/what-we-do/services/cognitive-business-operations,Networks: Building responsive networks to drive agility,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Cognitive Business Operations,https://www.tcs.com/what-we-do/services/cognitive-business-operations,,,https://www.tcs.com/what-we-do/services/cognitive-business-operations,"Data center: Building automated, secure, and green solutions",Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Cognitive Business Operations,https://www.tcs.com/what-we-do/services/cognitive-business-operations,,,https://www.tcs.com/what-we-do/services/cognitive-business-operations,Applications: Decoding operations to accelerate speed to market,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Cognitive Business Operations,https://www.tcs.com/what-we-do/services/cognitive-business-operations,,,https://www.tcs.com/what-we-do/services/cognitive-business-operations,Workspace: Creating intuitive and intelligent workspaces,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Consulting,https://www.tcs.com/what-we-do/services/consulting,,,https://www.tcs.com/what-we-do/services/consulting/tcs-cio-advisory-services,CIO advisory services,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Consulting,https://www.tcs.com/what-we-do/services/consulting,,,https://www.tcs.com/what-we-do/services/consulting/mergers-acquisitions,Mergers and acquisitions,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Consulting,https://www.tcs.com/what-we-do/services/consulting,,,https://www.tcs.com/what-we-do/services/consulting/next-generation-enterprise,Next-gen enterprise transformation,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Consulting,https://www.tcs.com/what-we-do/services/consulting,,,https://www.tcs.com/what-we-do/services/consulting/risk-cybersecurity-strategy,Risk and cybersecurity strategy,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Consulting,https://www.tcs.com/what-we-do/services/consulting,,,https://www.tcs.com/what-we-do/services/consulting/supply-chain,Supply chain as a service,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Cybersecurity,https://www.tcs.com/what-we-do/services/cybersecurity,,,https://www.tcs.com/what-we-do/services/cybersecurity/solution/ics-ot-security-cyber-attacks,Cybersecurity advisory and consulting,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Cybersecurity,https://www.tcs.com/what-we-do/services/cybersecurity,,,https://www.tcs.com/what-we-do/services/cybersecurity/solution/governance-risk-compliance-security-services,Cyber-physical security,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Cybersecurity,https://www.tcs.com/what-we-do/services/cybersecurity,,,https://www.tcs.com/what-we-do/services/cybersecurity/solution/digital-forensics-secure-enterprise-cyber-attack,Digital identity management,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Cybersecurity,https://www.tcs.com/what-we-do/services/cybersecurity,,,https://www.tcs.com/what-we-do/services/cybersecurity/solution/data-privacy-security-services,Digital workplace security ,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Cybersecurity,https://www.tcs.com/what-we-do/services/cybersecurity,,,https://www.tcs.com/what-we-do/services/cybersecurity/solution/cloud-security-resilience-zero-trust-approach,Enterprise security-as-a-service ,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Cybersecurity,https://www.tcs.com/what-we-do/services/cybersecurity,,,https://www.tcs.com/what-we-do/services/cybersecurity/solution/managed-detection-response-services,"Governance, risk and compliance   ",Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Cybersecurity,https://www.tcs.com/what-we-do/services/cybersecurity,,,https://www.tcs.com/what-we-do/services/cybersecurity/solution/enterprise-vulnerability-management-services,Incident response and rapid recovery,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Cybersecurity,https://www.tcs.com/what-we-do/services/cybersecurity,,,https://www.tcs.com/what-we-do/services/cybersecurity/solution/network-security-services-zero-trust-approach,Privacy and data protection,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Data & Analytics,https://www.tcs.com/what-we-do/services/data-and-analytics,,,https://www.tcs.com/what-we-do/services/data-and-analytics/solution/tcs-datom-enhance-data-analytics-capabilities,TCS Datom™ ,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Data & Analytics,https://www.tcs.com/what-we-do/services/data-and-analytics,,,https://www.tcs.com/what-we-do/services/data-and-analytics/solution/tcs-daezmo-data-center-modernization,TCS Daezmo™,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Data & Analytics,https://www.tcs.com/what-we-do/services/data-and-analytics,,,https://www.tcs.com/what-we-do/services/data-and-analytics/solution/tcs-dexam-data-democratization-monetization,TCS Dexam™,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Data & Analytics,https://www.tcs.com/what-we-do/services/data-and-analytics,,,https://www.tcs.com/what-we-do/services/data-and-analytics/solution/business-analytics-solutions,TCS Business Analytics Solutions,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Enterprise Solutions,https://www.tcs.com/what-we-do/services/enterprise-solutions,,,https://www.tcs.com/what-we-do/services/enterprise-solutions/solution/enterprise-navigator-integrated-consulting-framework-business-transformation,TCS Enterprise Navigator™,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Enterprise Solutions,https://www.tcs.com/what-we-do/services/enterprise-solutions,,,https://www.tcs.com/what-we-do/services/enterprise-solutions/solution/tcs-crystallus-accelerate-digital-transformation-enhance-cx,TCS Crystallus™ on SAP,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Enterprise Solutions,https://www.tcs.com/what-we-do/services/enterprise-solutions,,,https://www.tcs.com/what-we-do/services/enterprise-solutions/solution/crystallus-pre-configured-solution-oracle,TCS Crystallus™ on Oracle Cloud,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Enterprise Solutions,https://www.tcs.com/what-we-do/services/enterprise-solutions,,,https://www.tcs.com/what-we-do/services/enterprise-solutions/solution/crystallus-enterprise-digital-transformation,TCS Crystallus™ on Salesforce,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Enterprise Solutions,https://www.tcs.com/what-we-do/services/enterprise-solutions,,,https://www.tcs.com/what-we-do/services/enterprise-solutions/solution/sap-s4-hana-migration-tcs-conversion,TCS ConvertCore ,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
IoT Digital Engineering,https://www.tcs.com/what-we-do/services/iot-digital-engineering,,,https://www.tcs.com/what-we-do/services/iot-digital-engineering/connected-plants-smart-manufacturing,Connected plants,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
IoT Digital Engineering,https://www.tcs.com/what-we-do/services/iot-digital-engineering,,,https://www.tcs.com/what-we-do/services/iot-digital-engineering/connected-services-ecosystem-deliver-value,Connected services,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
IoT Digital Engineering,https://www.tcs.com/what-we-do/services/iot-digital-engineering,,,https://www.tcs.com/what-we-do/services/iot-digital-engineering/connected-digital-enterprise,Digital thread,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
IoT Digital Engineering,https://www.tcs.com/what-we-do/services/iot-digital-engineering,,,https://www.tcs.com/what-we-do/services/iot-digital-engineering/sustainable-software-defined-vehicles,Intelligent automotive,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
IoT Digital Engineering,https://www.tcs.com/what-we-do/services/iot-digital-engineering,,,https://www.tcs.com/what-we-do/services/iot-digital-engineering/intelligent-products,Intelligent products,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
 Network Solutions and Service,https://www.tcs.com/what-we-do/services/network-solutions-and-services,,,https://www.tcs.com/what-we-do/services/network-solutions-and-services,Network planning and engineering,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
 Network Solutions and Service,https://www.tcs.com/what-we-do/services/network-solutions-and-services,,,https://www.tcs.com/what-we-do/services/network-solutions-and-services/solution/cognitive-network-operations-telecommunication-network,Cognitive network operations,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
 Network Solutions and Service,https://www.tcs.com/what-we-do/services/network-solutions-and-services,,,https://www.tcs.com/what-we-do/services/network-solutions-and-services,Telco cloud and orchestration services,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
 Network Solutions and Service,https://www.tcs.com/what-we-do/services/network-solutions-and-services,,,https://www.tcs.com/what-we-do/services/network-solutions-and-services/solution/next-gen-oss-services-csp-digital-transformation,Next-gen OSS services,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
 Network Solutions and Service,https://www.tcs.com/what-we-do/services/network-solutions-and-services,,,https://www.tcs.com/what-we-do/services/network-solutions-and-services,Network testing and automation,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
 Network Solutions and Service,https://www.tcs.com/what-we-do/services/network-solutions-and-services,,,https://www.tcs.com/what-we-do/services/network-solutions-and-services/solution/industrialized-sd-wan-solution-network-transformation,Industrialized SD-WAN,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
 Network Solutions and Service,https://www.tcs.com/what-we-do/services/network-solutions-and-services,,,https://www.youtube-nocookie.com/embed/vmbAXyuefY8,5G enterprise services,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Sustainability Services,https://www.tcs.com/what-we-do/services/sustainability-services,,,https://www.tcs.com/what-we-do/services/iot-digital-engineering/solution/tcs-clever-energy-management-system,TCS Clever Energy™,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Sustainability Services,https://www.tcs.com/what-we-do/services/sustainability-services,,,https://www.tcs.com/what-we-do/services/iot-digital-engineering/solution/ip2-digital-power-plants-maintenance-efficiency,TCS IP2™,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Sustainability Services,https://www.tcs.com/what-we-do/services/sustainability-services,,,https://www.tcs.com/what-we-do/services/iot-digital-engineering/solution/tcs-digifleet-improved-supply-chain-operations,TCS DigiFleet™,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Sustainability Services,https://www.tcs.com/what-we-do/services/sustainability-services,,,https://www.tcs.com/what-we-do/industries/consumer-goods-distribution/solution/tcs-envirozone-sustainability-solution,TCS Envirozone™,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Sustainability Services,https://www.tcs.com/what-we-do/services/sustainability-services,,,https://www.tcs.com/what-we-do/products-platforms/tcs-intelligent-urban-exchange,TCS Intelligent Urban Exchange™,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Sustainability Services,https://www.tcs.com/what-we-do/services/sustainability-services,,,https://www.tcs.com/what-we-do/industries/manufacturing/solution/sustainable-design-neural-manufacturing,Sustainable by Design,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
TCS Interactive,https://www.tcs.com/what-we-do/services/tcs-interactive,,,https://www.tcs.com/what-we-do/services/tcs-interactive,Iconic designs  ,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
TCS Interactive,https://www.tcs.com/what-we-do/services/tcs-interactive,,,https://www.tcs.com/what-we-do/services/tcs-interactive,Digital experience ,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
TCS Interactive,https://www.tcs.com/what-we-do/services/tcs-interactive,,,https://www.tcs.com/what-we-do/services/tcs-interactive,Insights-driven marketing  ,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
TCS Interactive,https://www.tcs.com/what-we-do/services/tcs-interactive,,,https://www.tcs.com/what-we-do/services/tcs-interactive,Experience-first commerce ,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
TCS Interactive,https://www.tcs.com/what-we-do/services/tcs-interactive,,,https://www.tcs.com/what-we-do/services/tcs-interactive,AI-enabled measurement,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
